id,row,section,question,engineStatus,actualAnswer,sourceStatus,nextAction
1,132,"(*) ""שלב הבתים""",הנבחרת שתבעט את בעיטת הפתיחה במשחק הפתיחה (מקסיקו - דרום אפריקה) תהיה:,already_closed,מקסיקו,verified_fifa,לא נוגע - כבר סגור/מאומת
2,134,"(*) ""שלב הבתים""",בעיטת הפתיחה של משחק הפתיחה תיבעט ב:,already_closed,רגל ימין,verified_fifa,לא נוגע - כבר סגור/מאומת
3,136,"(*) ""שלב הבתים""",האירוע הראשון בטורניר לאחר שריקת הפתיחה יהיה:,already_closed,זריקת חוץ,verified_fifa,לא נוגע - כבר סגור/מאומת
4,138,"(*) ""שלב הבתים""",השער הראשון בטורניר יובקע ב:,already_closed,רגל ימין,verified_fifa,לא נוגע - כבר סגור/מאומת
5,140,"(*) ""שלב הבתים""",הבית עם מס' השערים הנמוך ביותר,locked_not_answered_now,לא ידוע | מס' השערים שיובקעו: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
6,142,"(*) ""שלב הבתים""",הבית עם מס' השערים הרב ביותר,locked_not_answered_now,לא ידוע | מס' השערים שיובקעו: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
7,144,"(*) ""שלב הבתים""",הנבחרת שתבקיע את מס' השערים הגדול ביותר בשלב הבתים,locked_not_answered_now,לא ידוע | מס' השערים שתבקיע: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
8,146,"(*) ""שלב הבתים""",הנבחרת שתספוג את מס' השערים הגדול ביותר בשלב הבתים,locked_not_answered_now,לא ידוע | מס' השערים שתספוג: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
9,148,"(*) ""שלב הבתים""",הנבחרת שתבקיע את מס' השערים הקטן ביותר בשלב הבתים,locked_not_answered_now,לא ידוע | מס' השערים שתבקיע: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
10,150,"(*) ""שלב הבתים""",הנבחרת שתספוג את מס' השערים הקטן ביותר בשלב הבתים,locked_not_answered_now,לא ידוע | מס' השערים שתספוג: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
11,152,"(*) ""שלב הבתים""",הנבחרת בעלת הכי הרבה תוצאות תיקו בשלב הבתים,locked_not_answered_now,לא ידוע | מס' תוצאות תיקו: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
12,154,"(*) ""שלב הבתים""","מס' תוצאות התיקו שיהיו בשלב הבתים (סה""כ 72 משחקים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
13,156,"(*) ""שלב הבתים""",הנבחרת שתספוג הכי הרבה כרטיסים אדומים בשלב הבתים,locked_not_answered_now,לא ידוע | מס' הכרטיסים שתספוג: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
14,158,"(*) ""שלב הבתים""","מס' כרטיסים אדומים שיישלפו בשלב הבתים (סה""כ 72 משחקים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
15,160,"(*) ""שלב הבתים""",מלך השערים בבתים,locked_not_answered_now,לא ידוע | לא ידוע | מס' השערים שיכבוש: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
16,162,"(*) ""שלב הבתים""",הנבחרת שיישרקו לזכותה הכי הרבה פנדלים בבתים,locked_not_answered_now,לא ידוע + מס' הפנדלים שיישרקו: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
17,164,"(*) ""שלב הבתים""",הנבחרת שיישרקו לחובתה הכי הרבה פנדלים בבתים,locked_not_answered_now,לא ידוע + מס' הפנדלים שיישרקו: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
18,166,"(*) ""שלב הבתים""","מס' פנדלים שיישרקו בשלב הבתים (סה""כ 72 משחקים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
19,173,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מי מהשחקנים יבקיע יותר שערים בשלב הבתים ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
